Index,m/z,RT [min],Molecular Weight,Calibration RT [min]
2978,540.33002,17.648,541.33729,17.648
2979,540.61237,0.725,541.61964,0.725
2980,540.62781,0.723,541.63508,0.723
2981,541.14728,0.815,542.15455,0.815
2982,541.61035,0.726,542.61763,0.726
2983,541.90802,0.773,542.9153,0.773
2984,542.30811,0.818,543.31538,0.818
2985,542.31,16.797,543.31727,16.797
2986,542.34583,18.236,543.3531,18.236
2987,542.63361,0.69,543.64088,0.69
2988,542.71161,0.754,543.71889,0.754
2989,543.22449,3.271,544.23176,3.271
2990,543.34357,18.409,544.35084,18.409
2991,543.60901,0.725,544.61629,0.725
2992,543.62354,0.698,544.63081,0.698
2993,544.60663,0.725,545.61391,0.725
2994,544.63153,0.693,545.63881,0.693
2995,544.65167,0.736,545.65895,0.736
2996,544.81195,22.929,545.81923,22.929
2997,545.27008,13.657,546.27736,13.657
2998,545.46057,15.111,546.46785,15.111
2999,545.60431,0.724,546.61159,0.724
3000,545.62073,0.696,546.628,0.696
3001,546.61871,0.727,547.62599,0.727
3002,546.64502,0.732,547.6523,0.732
3003,547.21808,13.253,548.22536,13.253
3004,547.40002,20.078,548.4073,20.078
3005,547.68964,0.724,548.69691,0.724
3006,548.25641,3.253,549.26369,3.253
3007,548.64124,0.734,549.64851,0.734
3008,548.73279,0.762,549.74006,0.762
3009,548.95758,0.789,549.96486,0.789
3010,549.59924,0.726,550.60652,0.726
3011,549.61395,0.703,550.62123,0.703
3012,549.93951,0.839,550.94679,0.839
3013,549.95203,0.816,550.9593,0.816
3014,550.5965,0.717,551.60377,0.717
3015,550.6131,0.717,551.62037,0.717
3016,551.19373,18.596,552.201,18.596
3017,551.25684,14.625,552.26411,14.625
3018,551.46802,19.018,552.47529,19.018
3019,551.46802,19.194,552.47529,19.194
3020,551.61078,0.701,552.61806,0.701
3021,551.91913,0.794,506.92093,0.794
3022,551.91913,0.797,552.92641,0.797
3023,552.27216,17.376,553.27943,17.376
3024,552.61005,0.702,553.61732,0.702
3025,552.62134,0.726,553.62861,0.726
3026,552.66632,0.745,553.6736,0.745
3027,553.03571,10.526,554.04298,10.526
