Index,m/z,RT [min],Molecular Weight,Calibration RT [min]
130,108.11903,0.802,107.11176,0.802
131,108.13205,1.218,107.12477,1.218
132,108.13224,0.795,107.12496,0.795
133,108.15285,0.81,107.14557,0.81
134,109.02241,29.111,108.01513,29.111
135,109.02242,29.012,108.01514,29.012
136,109.07603,1.01,108.06876,1.01
137,109.52163,29.135,108.51435,29.135
138,109.52164,29.014,108.51436,29.014
139,110.02004,29.118,218.02553,29.118
140,110.0201,29.213,218.02565,29.213
141,110.0202,29.018,218.02585,29.018
142,110.07126,23.774,109.06398,23.774
143,110.07126,25.335,109.06398,25.335
144,110.07127,23.378,109.06399,23.378
145,110.07127,24.018,109.064,24.018
146,110.07127,28.808,109.06399,28.808
147,110.07129,0.679,109.06401,0.679
148,110.52029,29.121,109.51301,29.121
149,111.0202,29.009,178.9993,29.009
150,111.02021,29.008,220.02587,29.008
151,111.03909,29.008,110.03181,29.008
152,111.06787,3.337,110.06059,3.337
153,111.09164,23.828,110.08437,23.828
154,111.09164,25.604,110.08437,25.604
155,111.09167,28.038,110.08439,28.038
156,111.09167,28.715,110.08439,28.715
157,111.09167,28.808,110.08439,28.808
158,112.00623,0.648,110.99896,0.648
159,112.0505,25.586,111.04322,25.586
160,112.0505,26.155,111.04322,26.155
161,112.05051,26.584,111.04324,26.584
162,112.06307,26.306,111.0558,26.306
163,112.06307,26.77,111.0558,26.77
164,112.06308,25.598,111.0558,25.598
165,112.06308,28.455,111.0558,28.455
166,112.08044,1.566,111.07317,1.566
167,112.08688,28.808,111.0796,28.808
168,112.08689,23.782,111.07961,23.782
169,112.0869,24.09,111.07962,24.09
170,113.01669,29.013,112.00941,29.013
171,113.07089,25.203,112.06362,25.203
172,113.07089,25.398,112.06362,25.398
173,113.07089,25.6,112.06362,25.6
174,113.0709,24.849,112.06362,24.849
175,113.0709,25.851,112.06362,25.851
176,113.0709,26.856,112.06362,26.856
177,113.07091,25.299,112.06363,25.299
178,113.07092,25.108,112.06365,25.108
179,113.07092,25.152,112.06365,25.152
180,113.07092,25.495,112.06365,25.495
181,113.07092,27.362,112.06365,27.362
182,113.07092,28.52,130.07421,28.52
183,113.07092,28.561,130.07421,28.561
184,113.07092,28.995,112.06365,28.995
185,113.08379,1.56,112.07651,1.56
186,113.10728,25.631,112.1,25.631
187,113.10729,25.184,112.10002,25.184
188,113.13241,20.76,112.12513,20.76
189,113.51733,29.021,112.51006,29.021
190,113.9637,29.303,112.95642,29.303
191,114.06623,24.527,113.05895,24.527
192,114.10257,25.63,113.09529,25.63
193,114.51645,29.018,113.50917,29.018
194,114.51881,29.01,113.51154,29.01
195,114.89284,0.77,113.88556,0.77
196,115.05016,28.854,114.04288,28.854
197,115.05017,25.889,114.04289,25.889
198,115.05017,28.56,114.04289,28.56
199,115.05022,26.296,114.04294,26.296
200,115.05022,26.712,114.04294,26.712
201,115.05022,28.444,114.04294,28.444
202,115.05022,28.714,114.04294,28.714
203,116.07061,0.809,115.06333,0.809
204,116.07061,1.048,115.06333,1.048
205,116.52412,29.04,115.51684,29.04
206,117.05719,2.442,116.04991,2.442
207,117.06979,16.247,116.06251,16.247
208,117.99043,0.629,116.98315,0.629
209,118.03489,0.638,117.02761,0.638
210,118.06102,28.992,117.05374,28.992
211,118.06508,1.012,117.0578,1.012
212,118.06508,1.594,117.0578,1.594
213,118.0862,0.95,117.07892,0.95
214,118.0862,28.994,117.07893,28.994
215,118.08623,0.839,117.07895,0.839
216,119.04912,1.012,118.04184,1.012
217,120.02544,22.92,119.01817,22.92
218,120.02544,23.078,119.01817,23.078
219,120.06554,1.331,119.05827,1.331
220,120.0656,0.811,119.05832,0.811
221,120.06561,0.922,119.05833,0.922
222,120.06561,1.062,119.05833,1.062
223,120.08074,1.599,102.04692,1.599
224,120.08079,1.601,119.07351,1.601
