Index,m/z,RT [min],Molecular Weight,Calibration RT [min]
2500,368.1232,8.773333333,369.1305,8.773333333
2501,368.25516,13.122,369.26243,13.122
2502,368.25531,12.763,369.26259,12.763
2503,368.35312,20.125,369.3604,20.125
2504,368.35327,19.823,369.36055,19.823
2505,368.75684,0.697,369.76411,0.697
2506,368.83615,0.769,369.84343,0.769
2507,368.86465,0.749,369.87193,0.749
2508,368.9765,13.183,369.98378,13.183
2509,368.99911,0.58,185.0032,0.58
2510,369.13019,3.3,370.13746,3.3
2511,369.16965,9.374,370.17692,9.374
2512,369.21362,4.072,162.10771,4.072
2513,369.2276,11.375,370.2349,11.375
2514,369.23929,11.392,370.24656,11.392
2515,369.23932,11.743,370.2466,11.743
2516,369.27588,12.759,370.28316,12.759
2517,369.30072,18.006,370.308,18.006
2518,369.30087,15.459,185.15407,15.459
2519,369.3009,15.457,370.30818,15.457
2520,369.3371,18.786,370.34437,18.786
2521,369.33728,19.753,370.34456,19.753
2522,369.7605,0.74,370.76777,0.74
2523,369.97656,0.627,370.98384,0.627
2524,370.10776,8.339,371.11503,8.339
2525,370.22336,11.08,371.23063,11.08
2526,370.22339,10.735,371.23067,10.735
2527,370.22342,10.88,371.2307,10.88
2528,370.24252,11.065,371.2498,11.065
2529,370.24261,10.256,371.24989,10.256
2530,370.24268,10.563,371.24995,10.563
2531,370.2597,10.807,371.26698,10.807
2532,370.27084,12.191,371.27812,12.191
2533,370.27094,8.406,371.27821,8.406
2534,370.27094,11.017,371.27821,11.017
2535,370.271,11.73,371.27827,11.73
2536,370.7757,0.745,371.78297,0.745
2537,370.87265,23.011,371.87993,23.011
2538,370.96869,0.604,371.97597,0.604
2539,371.05914,7.665,372.06642,7.665
2540,371.1369,6.118333333,372.1442,6.118333333
2541,371.1406,15.23,372.1479,15.23
2542,371.19348,9.205,372.20076,9.205
2543,371.22723,16.957,186.11726,16.957
2544,371.25485,10.542,372.26213,10.542
2545,371.2685,15.225,372.2758,15.225
2546,371.31653,18.94,372.3238,18.94
2547,371.35287,20.534,372.36015,20.534
2548,371.81534,0.679,372.82261,0.679
2549,371.8667,0.747,372.87398,0.747
2550,372.02228,0.81,373.02955,0.81
2551,372.06573,16.69,373.07301,16.69
2552,372.23904,11.062,373.24632,11.062
2553,372.29071,16.562,373.29799,16.562
2554,372.34799,18.697,373.35527,18.697
2555,372.76743,0.735,373.7747,0.735
2556,373.08386,4.853,374.09114,4.853
2557,373.0921,0.839,374.09938,0.839
2558,373.16873,15.779,374.17601,15.779
2559,373.19708,11.802,374.20436,11.802
2560,373.1991,13.41166667,374.2064,13.41166667
2561,373.2341,11.572,374.24138,11.572
2562,373.2594,18.401,374.26668,18.401
2563,373.275,15.01666667,374.2823,15.01666667
2564,373.81311,0.729,374.82039,0.729
2565,373.86459,0.747,374.87187,0.747
2566,374.03839,0.833,337.08979,0.833
2567,374.1314,15.45166667,375.1387,15.45166667
2568,374.1514,8.591666667,375.1587,8.591666667
2569,374.16165,3.265,375.16893,3.265
2570,374.24466,13.76,375.25194,13.76
2571,374.30612,17.189,375.3134,17.189
2572,374.88562,0.763,375.8929,0.763
2573,375.0307,8.863,376.03798,8.863
2574,375.1312,7.668333333,376.1385,7.668333333
2575,375.15167,0.832,188.07947,0.832
2576,375.1966,13.77166667,376.2039,13.77166667
2577,375.29019,15.631,376.29747,15.631
2578,375.31149,19.073,376.31877,19.073
2579,376.0994,0.592,188.55334,0.592
2580,376.18631,4.496,377.19359,4.496
2581,376.80948,0.681,341.84008,0.681
2582,376.93542,0.58,377.9427,0.58
2583,376.93555,0.578,317.92169,0.578
2584,377.01248,0.592,378.01976,0.592
2585,377.08545,0.79,378.09273,0.79
2586,377.15793,11.735,378.16521,11.735
2587,377.19269,5.605,378.19996,5.605
2588,377.23056,16.623,378.23784,16.623
2589,377.27313,6.915,378.28041,6.915
2590,377.30994,15.118,378.31721,15.118
2591,377.7446,0.695,378.75188,0.695
2592,377.88843,0.756,378.8957,0.756
2593,378.0723,4.104,379.07957,4.104
2594,378.09735,1.102,189.55231,1.102
2595,378.09763,0.859,379.1049,0.859
2596,378.1623,15.12,379.1696,15.12
2597,378.2395,17.47166667,379.2468,17.47166667
2598,378.74292,0.696,379.7502,0.696
2599,378.78903,0.754,379.79631,0.754
2600,378.78906,0.754,341.84046,0.754
2601,378.81747,0.734,379.82475,0.734
2602,379.0959,8.635,380.1032,8.635
2603,379.1568,23.3,380.1641,23.3
2604,379.19223,16.287,380.19951,16.287
2605,379.19299,3.219,380.20027,3.219
2606,379.22348,8.174,380.23076,8.174
2607,379.2464,17.172,380.25368,17.172
2608,379.25281,13.247,380.26008,13.247
2609,379.86658,22.915,380.87385,22.915
2610,379.88098,22.933,380.88826,22.933
2611,380.04657,0.828,381.05385,0.828
2612,380.21884,6.506,381.22612,6.506
2613,380.31689,19.69,381.32417,19.69
2614,380.35324,20.419,381.36052,20.419
2615,380.72882,0.729,381.7361,0.729
2616,380.89362,0.765,381.90089,0.765
2617,381.11288,16.409,382.12016,16.409
2618,381.22583,15.633,382.23311,15.633
2619,381.2316,16.788,382.23887,16.788
2620,381.2392,7.977,382.24647,7.977
2621,381.23923,7.974,191.12325,7.974
2622,381.25955,18.597,382.26683,18.597
2623,381.26053,15.117,382.26781,15.117
2624,381.26199,17.758,382.26927,17.758
2625,381.26202,18.042,382.2693,18.042
2626,381.37366,19.861,382.38093,19.861
2627,381.87921,22.93,382.88649,22.93
2628,382.1002,0.731666667,383.1075,0.731666667
2629,382.26349,18.591,383.27077,18.591
